team,elo_basic,elo_basic_rank,mult_elo,mult_elo_rank,ip,ip_rank,avg_rank,combined_rank
brazil,1631.207473916587,1,1673.6782590315195,1,0.9993587331205455,1,1.0,1
netherlands,1596.3207438298512,2,1599.31282578471,7,0.8127514677203287,3,4.0,2
china,1558.328762581824,5,1630.7091480314516,3,0.5453096072552329,5,4.333333333333333,3
thailand,1581.1096746015244,3,1603.8904038063488,6,0.5280915555324325,6,5.0,4
pakistan,1553.6473204257236,6,1604.8699164787413,5,0.5860923483445235,4,5.0,5
iceland,1569.562780744415,4,1619.55047850567,4,0.370653159055437,9,5.666666666666667,6
peru,1552.7462380625864,8,1563.3818852510376,9,0.9258857171922277,2,6.333333333333333,7
new_zealand,1553.0218919346917,7,1648.8296879364675,2,-0.08670677752025817,16,8.333333333333334,8
ethiopia,1540.1854764287293,9,1587.0170417136114,8,0.2384509635686391,11,9.333333333333334,9
india,1532.8608553400077,10,1522.7692323121291,12,0.3126061188842065,10,10.666666666666666,10
guatemala,1517.824744086117,12,1536.9830863320906,10,-0.06842667913874376,15,12.333333333333334,11
serbia,1524.7185911782103,11,1520.175362733814,13,0.051347369485957146,14,12.666666666666666,12
indonesia,1511.5843448281528,14,1517.4365629701447,14,0.15762461782967305,12,13.333333333333334,13
philippines,1511.7425108922653,13,1497.0182927687908,15,0.13017268661194156,13,13.666666666666666,14
morocco,1504.0649266531602,15,1524.6853024471507,11,-0.2607355830178189,22,16.0,15
uk,1469.4417299025708,24,1493.2401804947704,16,0.4026299032387793,8,16.0,16
panama,1470.9809242269719,23,1399.5263681532685,28,0.476102919167097,7,19.333333333333332,17
south_korea,1489.7663028485345,16,1446.5285394512928,24,-0.1697216051437909,18,19.333333333333332,18
switzerland,1472.723496635346,20,1480.0182743422065,17,-0.2921375386189311,24,20.333333333333332,19
saudi_arabia,1471.6983560452368,21,1452.2695613734243,23,-0.12656621402246024,17,20.333333333333332,20
singapore,1484.6540222110111,17,1442.3673844494936,25,-0.1908360058507807,19,20.333333333333332,21
vietnam,1474.7946094274746,19,1459.9568302162882,19,-0.4047110343182502,25,21.0,22
mexico,1460.6007312409904,26,1456.0561992142423,20,-0.19469517808063605,20,22.0,23
canada,1471.25847039978,22,1462.2044654718095,18,-0.4812173768101446,27,22.333333333333332,24
uae,1475.955973014335,18,1455.5811470974827,22,-0.5863169783666313,29,23.0,25
oman,1464.5764676996853,25,1455.8600024376385,21,-0.4586544519377218,26,24.0,26
germany,1454.859188745114,27,1427.8237940911429,26,-0.24120680598760927,21,24.666666666666668,27
france,1437.0814641444595,28,1399.4374120500975,29,-0.2920450439064451,23,26.666666666666668,28
kazakhstan,1430.8283803596153,29,1419.5219257910915,27,-0.6675801918972559,30,28.666666666666668,29
usa,1428.0406400271377,30,1367.0372087732997,31,-0.5518230565899901,28,29.666666666666668,30
mongolia,1405.3257876970763,31,1393.6593957714865,30,-0.7499211294545414,32,31.0,31
rwanda,1398.4871198708156,32,1338.603824717287,32,-0.7137755163450106,31,31.666666666666668,32
